               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11395,            0.078361,                   0,           0.0017937,            0.043212,          0.00087712,          0.00019782,             0.10399,            0.086684,                   0,           0.0032804,           0.0032804,            0.070476
                   1,             0.10851,            0.081344,                   0,           0.0017215,            0.043595,           0.0009068,          0.00020071,              0.1066,             0.08274,                   0,           0.0065919,           0.0065919,            0.040454
                   2,             0.10661,            0.079441,                   0,           0.0021117,            0.042065,           0.0010756,          0.00024141,             0.10268,            0.086727,                   0,           0.0098814,           0.0098814,            0.010411
                   3,             0.10371,            0.075598,                   0,           0.0016694,            0.024857,          0.00072749,          0.00017226,             0.12697,              1.0874,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.10012,            0.078187,                   0,             0.08065,            0.053728,            0.014451,            0.003262,            0.099974,             0.14855,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.097279,            0.075068,                   0,            0.097512,             0.12887,            0.036925,           0.0072209,            0.092617,            0.075384,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.094536,            0.072204,                   0,             0.10177,            0.099618,            0.037622,           0.0089146,            0.091752,            0.087772,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.09204,            0.073113,                   0,             0.12066,             0.15124,            0.047088,           0.0093683,            0.090135,            0.096282,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.088976,            0.071429,                   0,             0.17951,             0.22715,            0.095556,            0.022268,            0.085378,            0.085858,                   0,            0.009769,            0.009769,            0.009769
                   9,              0.0871,            0.070532,                   0,             0.24782,             0.21587,             0.13343,            0.033547,            0.081606,            0.073309,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.084471,             0.06941,                   0,              0.2637,             0.23633,             0.14687,            0.036482,            0.080204,            0.073621,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.083034,            0.070311,                   0,             0.27447,             0.22371,             0.15269,            0.042164,            0.081874,            0.072907,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.081913,            0.065716,                   0,             0.30768,             0.22371,             0.17386,            0.050318,            0.080319,            0.075211,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.080844,            0.068844,                   0,             0.31016,             0.23624,             0.17492,            0.054993,            0.079601,            0.077551,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.079074,            0.068683,                   0,             0.35792,             0.26539,             0.21348,            0.061071,            0.077631,            0.074556,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.078473,             0.06533,                   0,               0.406,             0.27094,              0.2405,            0.078854,            0.074656,            0.072561,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.076961,            0.067315,                   0,             0.41236,             0.27094,             0.24755,            0.078762,            0.074622,            0.074372,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.075814,            0.067015,                   0,             0.42659,              0.3086,             0.27605,             0.07447,            0.074438,             0.07047,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.075098,            0.066303,                   0,             0.39957,             0.26004,             0.22671,            0.061122,            0.077187,            0.070057,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.074332,            0.066681,                   0,             0.42014,             0.25889,             0.23132,            0.082261,            0.073817,            0.099539,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.073586,             0.06549,                   0,             0.47206,             0.34168,             0.32393,             0.12005,            0.071332,            0.069123,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.072544,            0.066238,                   0,             0.48961,             0.35277,             0.34294,             0.12251,            0.069352,            0.072301,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.072438,              0.0651,                   0,             0.42842,             0.31721,             0.28867,             0.10214,            0.074995,            0.074288,                   0,            0.009307,            0.009307,            0.009307
