               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11498,            0.073886,                   0,           0.0017936,            0.043212,          0.00093449,          0.00020976,             0.10409,            0.086406,                   0,           0.0032804,           0.0032804,            0.070476
                   1,             0.10881,            0.082815,                   0,           0.0017677,            0.043403,          0.00089367,           0.0002027,             0.10338,            0.086436,                   0,           0.0065919,           0.0065919,            0.040454
                   2,             0.10754,            0.081884,                   0,           0.0016333,             0.04608,          0.00085041,          0.00018709,             0.10387,            0.085351,                   0,           0.0098814,           0.0098814,            0.010411
                   3,             0.10619,             0.08072,                   0,            0.018023,            0.030402,           0.0036214,          0.00074532,             0.10273,            0.088387,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.10404,            0.077609,                   0,            0.010123,            0.010134,           0.0022555,          0.00054881,             0.10561,             0.11959,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.10068,            0.074478,                   0,           0.0070477,            0.013767,           0.0037765,           0.0011859,             0.11287,             0.21827,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.096964,            0.075109,                   0,            0.086264,            0.082218,            0.022557,           0.0049253,            0.094793,            0.094894,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.09372,            0.073345,                   0,             0.10838,             0.13002,            0.033772,           0.0067131,             0.09435,            0.079272,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.09152,            0.072943,                   0,             0.17741,             0.15449,            0.071426,            0.016555,            0.087909,            0.076923,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.089747,            0.072608,                   0,             0.19773,             0.19503,            0.098562,            0.022125,            0.084044,            0.075879,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.086488,            0.071141,                   0,             0.22223,             0.21778,             0.12138,            0.030883,            0.083613,            0.075962,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.084577,            0.072179,                   0,             0.26605,             0.20421,             0.13864,            0.034432,            0.082758,            0.072303,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.082949,            0.071749,                   0,             0.22762,             0.16635,             0.10265,            0.029194,            0.084727,            0.087738,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.081572,             0.06928,                   0,             0.33185,             0.23901,             0.17677,             0.04877,             0.07969,            0.081987,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.080291,            0.069102,                   0,             0.32496,             0.28566,             0.21039,            0.060682,            0.077628,            0.070197,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.079251,            0.068341,                   0,             0.36954,             0.27495,             0.22114,            0.063855,            0.076151,            0.076668,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.078478,            0.069112,                   0,             0.37692,             0.27514,             0.22121,            0.070977,             0.07684,            0.079193,                   0,            0.009505,            0.009505,            0.009505
                  17,             0.07764,            0.069022,                   0,             0.41144,             0.30008,             0.26556,            0.086618,            0.072831,            0.069868,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.076512,            0.067895,                   0,             0.41743,             0.30535,             0.26649,            0.088041,            0.073882,            0.070027,                   0,            0.009439,            0.009439,            0.009439
