               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11659,            0.074885,                   0,           0.0016958,            0.042639,          0.00087669,          0.00019781,              0.1043,            0.086523,                   0,           0.0032804,           0.0032804,            0.070476
                   1,             0.10942,            0.079885,                   0,           0.0015622,            0.035373,          0.00076284,          0.00016684,             0.10689,            0.082719,                   0,           0.0065919,           0.0065919,            0.040454
                   2,             0.10727,            0.083896,                   0,           0.0022589,            0.017973,          0.00096387,          0.00021975,             0.11144,             0.07657,                   0,           0.0098814,           0.0098814,            0.010411
                   3,             0.10648,            0.082182,                   0,           0.0092662,            0.014149,           0.0017588,          0.00038711,             0.10429,            0.097174,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.10532,            0.079343,                   0,            0.021844,             0.02218,           0.0034067,          0.00068682,             0.10681,             0.17225,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.10268,            0.077451,                   0,            0.054382,            0.048948,             0.01055,           0.0019798,            0.099062,            0.080591,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.098799,            0.073897,                   0,            0.037138,            0.033652,           0.0069354,            0.001499,            0.098146,             0.10696,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.095799,            0.073157,                   0,             0.10759,             0.09522,            0.029748,           0.0058265,            0.098465,            0.071856,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.094041,            0.071569,                   0,             0.13437,             0.13174,            0.047833,            0.010101,            0.089764,            0.078349,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.092426,            0.072072,                   0,             0.10985,             0.13576,             0.04525,           0.0099219,            0.089748,            0.082595,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.091232,            0.072115,                   0,              0.1575,              0.1738,            0.074437,            0.017334,            0.087033,            0.074993,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.08902,            0.068547,                   0,             0.19502,             0.17051,            0.087509,            0.021392,            0.086307,            0.073941,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.088759,            0.068999,                   0,             0.20563,             0.17036,            0.090922,            0.022518,            0.085214,            0.073449,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.087129,            0.072105,                   0,             0.21456,             0.19025,             0.10212,            0.023974,            0.083383,            0.072471,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.086897,            0.070167,                   0,             0.16331,             0.15908,            0.075415,            0.019357,            0.085996,            0.076792,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.085783,            0.069937,                   0,             0.23509,             0.19407,             0.10885,            0.026549,            0.081953,            0.073993,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.084743,            0.069136,                   0,             0.23544,              0.2262,             0.12257,            0.029325,            0.081138,            0.074103,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.083927,            0.070903,                   0,              0.2477,              0.2044,             0.11219,            0.028684,            0.081859,            0.081345,                   0,            0.009472,            0.009472,            0.009472
