               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11556,            0.074397,                   0,           0.0017698,            0.042639,           0.0008316,          0.00018972,             0.10399,            0.086589,                   0,           0.0032804,           0.0032804,            0.070476
                   1,             0.10905,            0.078565,                   0,           0.0015509,            0.038432,          0.00079823,          0.00017147,             0.10575,            0.083629,                   0,           0.0065919,           0.0065919,            0.040454
                   2,             0.10737,            0.081805,                   0,            0.001917,            0.054685,           0.0010219,          0.00023809,             0.10368,            0.085815,                   0,           0.0098814,           0.0098814,            0.010411
                   3,             0.10619,            0.079424,                   0,            0.015316,            0.016635,            0.003523,          0.00072762,             0.10305,            0.085918,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.10246,            0.078569,                   0,            0.057165,            0.030784,           0.0075214,           0.0014711,             0.10225,             0.12071,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.098516,            0.075344,                   0,            0.026915,            0.023136,           0.0086762,           0.0016964,            0.098558,             0.14537,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.095974,            0.076277,                   0,            0.078159,            0.032505,            0.013305,           0.0022591,             0.09795,              0.1404,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.093081,            0.071568,                   0,            0.025453,            0.016061,            0.007052,           0.0018526,            0.093903,             0.10416,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.09135,            0.069763,                   0,             0.12216,             0.13671,            0.051201,            0.012483,            0.089219,            0.073899,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.089713,            0.070749,                   0,              0.1675,             0.17686,            0.077548,            0.018123,            0.086379,             0.07524,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.087231,            0.069043,                   0,             0.13638,              0.1673,            0.066325,            0.014288,            0.087242,            0.069598,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.086324,            0.070108,                   0,             0.20442,              0.2239,             0.11351,            0.026477,            0.082064,            0.070874,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.083381,            0.071443,                   0,             0.21917,             0.22724,             0.12628,            0.030557,            0.081686,            0.072923,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.083222,             0.06789,                   0,             0.24749,             0.26348,             0.15242,             0.03872,            0.079731,            0.072031,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.082302,            0.069189,                   0,             0.29693,             0.25755,             0.17241,            0.046356,            0.078296,            0.071399,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.081377,            0.069179,                   0,             0.27732,             0.29235,             0.18308,            0.050801,            0.077412,            0.071733,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.080967,            0.068229,                   0,            0.045128,            0.079159,            0.018849,           0.0063487,             0.09462,             0.12768,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.079746,            0.068887,                   0,             0.23526,             0.14245,            0.089579,            0.025174,            0.086161,            0.085289,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.079056,            0.069776,                   0,             0.27987,             0.23901,             0.16399,            0.047548,            0.079856,            0.083526,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.078125,            0.070224,                   0,             0.31842,             0.26692,             0.20318,            0.058276,            0.076752,            0.071356,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.078439,            0.067911,                   0,             0.42494,             0.27954,             0.24737,            0.076749,            0.074045,            0.072697,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.077232,             0.06523,                   0,             0.38698,             0.32696,             0.26429,            0.082273,            0.073213,             0.07367,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.075235,            0.065858,                   0,               0.326,             0.31759,             0.21597,            0.067772,            0.074063,            0.087977,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.075002,            0.064894,                   0,              0.3581,             0.24818,             0.20734,            0.060147,            0.077473,            0.070743,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.074987,            0.068843,                   0,             0.34792,             0.31185,             0.24143,            0.074289,            0.073814,            0.068385,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.074524,            0.066216,                   0,             0.42331,             0.32046,             0.28178,            0.094565,            0.071228,            0.068521,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.073377,            0.067329,                   0,             0.46697,             0.32906,             0.31054,             0.10872,            0.070037,            0.069497,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.073719,            0.066652,                   0,             0.48099,             0.31415,              0.2949,            0.098083,            0.072758,              0.0734,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.072713,            0.066377,                   0,              0.4902,             0.33021,             0.31931,             0.11387,            0.070195,             0.07364,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.073537,            0.068571,                   0,             0.43596,             0.29335,             0.27515,            0.098053,            0.071196,             0.07112,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.072253,            0.066008,                   0,              0.4737,             0.33289,             0.32209,              0.1167,            0.069427,            0.068591,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.072557,            0.065993,                   0,             0.46835,             0.33786,             0.31609,             0.10058,            0.071362,            0.069188,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.071979,            0.068219,                   0,             0.49038,             0.33614,             0.33016,              0.1222,            0.069218,            0.069548,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.072255,            0.068047,                   0,             0.47512,             0.34073,             0.33103,             0.11684,             0.07056,            0.068662,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.070012,            0.062859,                   0,             0.52675,             0.34498,             0.35396,             0.12472,            0.068657,            0.068387,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.070724,            0.066009,                   0,             0.54517,             0.32658,             0.34659,             0.12894,            0.068054,            0.068575,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.070919,              0.0644,                   0,             0.50771,             0.34187,             0.34162,             0.12324,            0.069656,            0.067848,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.070166,            0.063726,                   0,             0.52722,             0.34713,             0.34632,             0.13078,            0.067125,            0.067053,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.069794,            0.067126,                   0,             0.52703,             0.36482,              0.3662,             0.14131,            0.066644,            0.066558,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.069792,              0.0645,                   0,             0.56299,             0.35583,             0.37488,             0.13635,            0.068258,            0.067032,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.069007,            0.063036,                   0,             0.52101,              0.3673,             0.37206,             0.13529,            0.068018,            0.066314,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.069008,            0.063247,                   0,              0.5466,             0.37629,             0.38761,             0.15102,            0.065962,            0.065941,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.068254,            0.065906,                   0,             0.53766,              0.3717,             0.37892,             0.13975,            0.067739,            0.066661,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.06785,            0.063439,                   0,             0.47548,              0.3239,             0.31778,             0.11288,            0.071725,            0.069399,                   0,            0.008614,            0.008614,            0.008614
