               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11328,            0.075936,                   0,           0.0017936,            0.043212,          0.00087939,          0.00019842,             0.10403,             0.08656,                   0,           0.0032804,           0.0032804,            0.070476
                   1,             0.10778,             0.08357,                   0,           0.0018095,            0.043595,          0.00086134,          0.00019219,             0.10337,            0.086416,                   0,           0.0065919,           0.0065919,            0.040454
                   2,             0.10661,            0.082583,                   0,             0.00198,            0.056788,           0.0010533,          0.00023333,             0.10324,            0.085657,                   0,           0.0098814,           0.0098814,            0.010411
                   3,             0.10585,            0.078955,                   0,            0.014315,            0.035564,           0.0043293,          0.00089507,             0.10293,            0.082134,                   0,            0.009901,            0.009901,            0.009901
                   4,             0.10405,            0.077484,                   0,           0.0050117,            0.013767,            0.001518,          0.00034058,             0.11187,             0.27044,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.10062,            0.076372,                   0,            0.052834,            0.066348,            0.012186,           0.0023238,            0.099516,            0.084801,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.097766,            0.072465,                   0,            0.076524,            0.087189,            0.022756,           0.0048248,            0.097928,             0.10148,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.095506,             0.07091,                   0,             0.12626,             0.10593,            0.038268,           0.0082077,            0.096318,             0.09541,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.093005,             0.07082,                   0,            0.088228,            0.076864,            0.027267,           0.0054487,            0.091832,             0.10622,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.088968,            0.068866,                   0,             0.19684,             0.19326,            0.093308,            0.021244,             0.08637,            0.083161,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.086632,             0.07141,                   0,             0.23531,             0.20711,             0.11727,            0.026524,            0.084529,            0.092075,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.08606,            0.071164,                   0,             0.27292,             0.21472,             0.14611,            0.039369,            0.082797,            0.071169,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.084027,            0.070155,                   0,              0.3145,             0.23881,             0.17553,            0.047117,            0.081936,            0.069838,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.081093,            0.070147,                   0,              0.3038,              0.2543,             0.16705,            0.043726,            0.079691,            0.080932,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.079704,            0.066881,                   0,             0.40868,             0.32199,             0.27465,            0.084941,            0.074329,            0.068223,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.078033,            0.069179,                   0,              0.3815,             0.34837,             0.27833,            0.089555,            0.073738,            0.068035,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.077006,            0.067065,                   0,             0.41131,             0.29904,             0.26296,            0.088302,             0.07691,            0.073584,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.075643,            0.064957,                   0,             0.44526,             0.32734,             0.29641,            0.096444,            0.071553,            0.069875,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.074656,            0.066105,                   0,             0.46651,             0.33614,              0.3127,             0.10727,             0.07259,            0.068251,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.074612,            0.065786,                   0,             0.49775,             0.33117,              0.3197,             0.11593,            0.073079,            0.070736,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.073444,            0.068151,                   0,             0.45424,             0.30268,             0.28722,            0.088903,            0.075618,            0.071584,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.072993,            0.064494,                   0,             0.50848,             0.30669,             0.31799,             0.11397,            0.070484,            0.068658,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.071125,            0.065555,                   0,             0.50326,             0.35335,             0.33711,              0.1291,            0.070053,            0.075397,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.072022,            0.067026,                   0,             0.51264,             0.37075,             0.36434,             0.12884,            0.070342,            0.066658,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.070914,            0.065392,                   0,              0.5336,             0.36673,             0.37282,             0.15181,            0.067857,            0.067394,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.069615,            0.064774,                   0,             0.50226,              0.3805,             0.36863,              0.1256,            0.069395,            0.067832,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.069211,             0.06292,                   0,             0.54463,             0.38719,             0.38847,             0.15599,             0.06695,            0.069972,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.067758,            0.062524,                   0,             0.52319,             0.39128,             0.39196,             0.14775,            0.066355,            0.066786,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.068154,             0.06435,                   0,             0.56645,             0.39047,             0.41387,             0.17106,            0.064889,            0.065893,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.067551,            0.064769,                   0,             0.57783,             0.39063,             0.41428,             0.17224,            0.064859,            0.065822,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.068297,            0.066781,                   0,             0.56956,             0.38776,             0.41104,             0.17357,            0.064679,            0.065981,                   0,            0.009043,            0.009043,            0.009043
                  31,             0.06636,            0.063109,                   0,             0.57122,             0.39331,              0.4191,             0.16496,            0.064664,            0.064431,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.067091,            0.064803,                   0,             0.50576,             0.36444,             0.35803,             0.14854,            0.066758,            0.072264,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.066992,            0.063856,                   0,             0.60404,             0.40516,             0.43956,             0.16864,            0.064554,            0.065363,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.065357,            0.063877,                   0,             0.63016,             0.41166,              0.4533,             0.19297,            0.062631,            0.064494,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.064769,             0.06094,                   0,             0.61149,             0.42524,             0.45618,             0.19776,            0.062557,            0.064434,                   0,            0.008878,            0.008878,            0.008878
